Date,Mean_Gauge,Discharge (cumecs),filename
2012-09-06,4.57,9095.531,Inundation Boundary (06SEP2012 00 00 00 Value_0).tif
2008-08-09,4.58,1071.515,Inundation Boundary (09AUG2008 00 00 00 Value_0).tif
2004-08-13,4.58,1201.0,Inundation Boundary (13AUG2004 00 00 00 Value_0).tif
2009-09-04,4.59,1171.119,Inundation Boundary (04SEP2009 00 00 00 Value_0).tif
2011-07-21,4.62,1440.692,Inundation Boundary (21JUL2011 00 00 00 Value_0).tif
2004-08-11,4.63,1765.0,Inundation Boundary (11AUG2004 00 00 00 Value_0).tif
2008-08-07,4.665,1858.778,Inundation Boundary (07AUG2008 00 00 00 Value_0).tif
2006-08-24,4.665,1245.0,Inundation Boundary (24AUG2006 00 00 00 Value_0).tif
2005-08-29,4.67,1339.612,Inundation Boundary (29AUG2005 00 00 00 Value_0).tif
2006-09-12,4.675,1313.0,Inundation Boundary (12SEP2006 00 00 00 Value_0).tif
2011-08-03,4.69,1401.334,Inundation Boundary (03AUG2011 00 00 00 Value_0).tif
2012-08-21,4.72,5837.324,Inundation Boundary (21AUG2012 00 00 00 Value_0).tif
2010-08-03,4.725,1210.688,Inundation Boundary (03AUG2010 00 00 00 Value_0).tif
2008-07-12,4.74,1694.191,Inundation Boundary (12JUL2008 00 00 00 Value_0).tif
2007-08-05,4.74,1536.305,Inundation Boundary (05AUG2007 00 00 00 Value_0).tif
2001-07-28,4.78,1301.0,Inundation Boundary (28JUL2001 00 00 00 Value_0).tif
2003-07-03,4.785,1334.0,Inundation Boundary (03JUL2003 00 00 00 Value_0).tif
2011-08-29,4.8,3805.044,Inundation Boundary (29AUG2011 00 00 00 Value_0).tif
2011-07-29,4.815,1183.676,Inundation Boundary (29JUL2011 00 00 00 Value_0).tif
2001-07-13,4.855,1309.0,Inundation Boundary (13JUL2001 00 00 00 Value_0).tif
2005-09-24,4.905,1395.783,Inundation Boundary (24SEP2005 00 00 00 Value_0).tif
2011-08-07,4.915,2144.581,Inundation Boundary (07AUG2011 00 00 00 Value_0).tif
2005-07-21,4.92,1324.021,Inundation Boundary (21JUL2005 00 00 00 Value_0).tif
2005-07-28,4.95,3508.586,Inundation Boundary (28JUL2005 00 00 00 Value_0).tif
2012-08-30,4.95,2360.0,Inundation Boundary (30AUG2012 00 00 00 Value_0).tif
2002-09-15,4.96,1460.0,Inundation Boundary (15SEP2002 00 00 00 Value_0).tif
2011-06-25,4.975,1095.829,Inundation Boundary (25JUN2011 00 00 00 Value_0).tif
2010-09-21,4.995,2715.209,Inundation Boundary (21SEP2010 00 00 00 Value_0).tif
2012-08-02,5.0,1490.0,Inundation Boundary (02AUG2012 00 00 00 Value_0).tif
2010-09-19,5.0,1607.839,Inundation Boundary (19SEP2010 00 00 00 Value_0).tif
2012-09-16,5.0,1363.849,Inundation Boundary (16SEP2012 00 00 00 Value_0).tif
2001-08-31,5.0,1091.0,Inundation Boundary (31AUG2001 00 00 00 Value_0).tif
2005-08-01,5.01,5220.623,Inundation Boundary (01AUG2005 00 00 00 Value_0).tif
